date,code,name,logic_level,expected_scenario,key_catalyst,support_level,resistance_level,key_observation_level,actual_1d_return,actual_3d_return,actual_5d_return,actual_outcome,hit_expectation,notes
2026-05-25,002938,鹏鼎控股,硬逻辑,强势延续,光模块业务增长+AI服务器高多层板,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,2连板+历史新高；一致性过强需防分歧
2026-05-25,000636,风华高科,硬逻辑,强势延续,MLCC景气上行+AI服务器高规格需求,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,5天3板；封单7.96亿但换手仅0.75%
2026-05-25,002185,华天科技,硬逻辑,分歧换手,封测链扩产景气+先进封装需求,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,首板；换手8.92%；成交额48亿
2026-05-25,688347,华虹公司,硬逻辑,分歧换手,半导体制造扩产预期+晶圆制造,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,科创容量板；开板9次；换手12.31%
2026-05-25,002156,通富微电,硬逻辑,分歧换手,先进封装受益+算力芯片封测,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,午后换手板；开板4次；换手15.02%
2026-05-25,600584,长电科技,硬逻辑,分歧换手,国内封测龙头+尾盘资金回流,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,尾盘容量板；换手15.38%；成交额210亿
2026-05-25,603005,晶方科技,中性逻辑,分歧换手,先进封装与CIS封测映射+板块抱团,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,4天2板；反包换手；开板2次；换手16.42%
2026-05-25,603256,宏和科技,中性逻辑,分歧换手,电子布/玻纤链活跃+高端PCB上游材料景气外溢,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,2天2板；午后换手；换手2.32%
2026-05-25,002421,达实智能,中性逻辑,分歧换手,AIoT平台+物理AI情绪核心,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,7天6板；高位情绪股；换手38.66%
2026-05-25,002552,宝鼎科技,中性逻辑,分歧换手,PCB情绪扩散核心+高位辨识度,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,13天8板；高位抱团；换手10.01%
2026-05-25,000518,四环生物,擦边逻辑,退潮证伪,地天板情绪博弈+摘帽衍生,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,4天4板；波动极端；纯情绪
2026-05-25,000510,新金路,擦边逻辑,退潮证伪,化工材料补涨+电子化学品支线,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,2天2板；开板12次；后排补涨
2026-05-25,002693,*ST双成,擦边逻辑,退潮证伪,ST情绪+14天7板高标博弈,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,ST标的；高风险
2026-05-25,605198,安德利,擦边逻辑,分歧换手,非主线独立涨停+无明确强催化,待填入,待填入,待填入,待回填,待回填,待回填,待回填,待回填,首板；独立逻辑；待验证
