date,code,name,logic_level,expected_scenario,key_catalyst,support_level,resistance_level,key_observation_level,actual_1d_return,actual_3d_return,actual_5d_return,actual_outcome,hit_expectation,notes
2026-06-01,000539.SZ,粤电力Ａ,硬逻辑,分歧换手,迎峰度夏能源保供、深圳电网负荷创新高，电价/气候/算力多重催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:25:00，开板107次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；炸板次数高/高位连板
2026-06-01,603890.SH,春秋电子,硬逻辑,分歧换手,英伟达/微软/Arm 新 PC 平台预热，端侧 AI 渗透预期升温；消费电子链低位补涨。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:25:02，开板0次,待回填,待回填,待回填,待回填,待回填,AI PC/消费电子；待观察
2026-06-01,002608.SZ,江苏国信,硬逻辑,分歧换手,迎峰度夏能源保供、深圳电网负荷创新高，电价/气候/算力多重催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:30:09，开板1次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；待观察
2026-06-01,000767.SZ,晋控电力,硬逻辑,分歧换手,迎峰度夏能源保供、深圳电网负荷创新高，电价/气候/算力多重催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:31:03，开板20次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；炸板次数高
2026-06-01,603011.SH,合锻智能,硬逻辑,强势延续,前排高标延续与制造业/机器人低位补涨，偏资金情绪与产业映射共振。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:31:09，开板1次,待回填,待回填,待回填,待回填,待回填,机器人/制造；高位连板
2026-06-01,603678.SH,火炬电子,硬逻辑,分歧换手,军工电子 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:32:22，开板6次,待回填,待回填,待回填,待回填,待回填,军工电子；待观察
2026-06-01,600301.SH,华锡有色,硬逻辑,分歧换手,小金属 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:42:20，开板0次,待回填,待回填,待回填,待回填,待回填,小金属；待观察
2026-06-01,301236.SZ,软通动力,硬逻辑,分歧换手,英伟达/微软/Arm 新 PC 平台预热，端侧 AI 渗透预期升温；消费电子链低位补涨。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:43:03，开板0次,待回填,待回填,待回填,待回填,待回填,AI PC/消费电子；待观察
2026-06-01,000037.SZ,深南电A,硬逻辑,分歧换手,迎峰度夏能源保供、深圳电网负荷创新高，电价/气候/算力多重催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:52:12，开板16次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；炸板次数高/高换手分歧
2026-06-01,002579.SZ,中京电子,硬逻辑,分歧换手,AI 硬件链前期分化后支线活跃，PCB/元件/光学方向出现修复。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:53:09，开板4次,待回填,待回填,待回填,待回填,待回填,AI硬件/PCB；高换手分歧
